https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1535324400,2018-08-26 23:00:00,BTC/USD,6688.5,6720.0,6685.0,6707.0,1809302.41,270.0
1535320800,2018-08-26 22:00:00,BTC/USD,6681.8,6695.2,6664.5,6688.5,1950534.91,291.84
1535317200,2018-08-26 21:00:00,BTC/USD,6679.5,6697.0,6676.7,6681.8,1166055.87,174.44
1535313600,2018-08-26 20:00:00,BTC/USD,6709.06,6709.1,6662.91,6679.5,1814601.7,271.37
1535310000,2018-08-26 19:00:00,BTC/USD,6692.3,6713.7,6679.2,6709.06,2498556.08,373.09
1535306400,2018-08-26 18:00:00,BTC/USD,6652.1,6700.0,6646.23,6692.3,2404990.86,360.36
1535302800,2018-08-26 17:00:00,BTC/USD,6658.1,6679.2,6631.3,6652.1,2429594.7,365.05
1535299200,2018-08-26 16:00:00,BTC/USD,6678.4,6704.0,6641.0,6658.1,2235816.19,335.17
1535295600,2018-08-26 15:00:00,BTC/USD,6698.0,6706.2,6665.0,6678.4,2177571.14,325.87
1535292000,2018-08-26 14:00:00,BTC/USD,6721.9,6745.4,6694.1,6698.0,6227776.4,925.39
1535288400,2018-08-26 13:00:00,BTC/USD,6685.0,6740.1,6684.0,6721.9,3848897.2,573.82
1535284800,2018-08-26 12:00:00,BTC/USD,6703.6,6709.0,6655.31,6685.0,6450488.48,965.49
1535281200,2018-08-26 11:00:00,BTC/USD,6667.9,6719.0,6667.9,6703.6,3297878.15,492.5
1535277600,2018-08-26 10:00:00,BTC/USD,6666.0,6677.4,6644.8,6667.9,5139314.96,771.45
1535274000,2018-08-26 09:00:00,BTC/USD,6632.0,6690.0,6629.9,6666.0,7065357.34,1059.88
1535270400,2018-08-26 08:00:00,BTC/USD,6643.6,6665.0,6625.7,6632.0,4063271.32,611.45
1535266800,2018-08-26 07:00:00,BTC/USD,6604.3,6645.2,6599.8,6643.6,3082736.24,465.08
1535263200,2018-08-26 06:00:00,BTC/USD,6591.2,6621.11,6557.0,6604.3,5686857.34,863.46
1535259600,2018-08-26 05:00:00,BTC/USD,6623.0,6627.3,6584.7,6591.2,2590494.0,392.16
1535256000,2018-08-26 04:00:00,BTC/USD,6622.7,6644.1,6605.0,6623.0,2708707.06,408.9
1535252400,2018-08-26 03:00:00,BTC/USD,6648.1,6653.8,6600.0,6622.7,8299871.5,1253.02
1535248800,2018-08-26 02:00:00,BTC/USD,6739.9,6740.0,6640.0,6648.1,9130801.25,1367.54
1535245200,2018-08-26 01:00:00,BTC/USD,6756.3,6759.1,6732.1,6739.9,3424560.38,507.66
1535241600,2018-08-26 00:00:00,BTC/USD,6732.9,6789.0,6714.28,6756.3,14689229.18,2170.82
1535238000,2018-08-25 23:00:00,BTC/USD,6728.3,6783.1,6720.2,6732.9,12484877.97,1845.87
1535234400,2018-08-25 22:00:00,BTC/USD,6701.3,6734.5,6701.3,6728.3,2492525.84,370.97
